N,A,B,A,T,hr,hPa,Balanza
1,1.0001,1.0006,1.0000,24.8,87,858,1
2,1.0000,1.0006,1.0001,24.8,87,858,1
3,1.0000,1.0006,1.0000,24.8,87,858,1
4,1.0000,1.0006,1.0000,24.8,87,858,1
5,1.0000,1.0006,1.0000,24.8,87,858,1
6,2.0000,2.0005,2.0000,24.9,88,858,1
7,2.0000,2.0005,2.0000,24.9,88,858,1
8,2.0000,2.0004,2.0000,25.0,88,858,1
9,2.0000,2.0005,2.0000,25.0,88,858,1
10,2.0000,2.0005,2.0000,25.0,88,858,1
11,2.0000,2.0001,2.0000,25.0,88,858,1
12,2.0001,2.0002,2.0000,25.0,88,858,1
13,2.0000,2.0001,2.0000,25.0,88,858,1
14,2.0000,2.0001,2.0000,25.0,89,858,1
15,1.9999,2.0002,2.0000,25.0,89,858,1
16,5.0000,5.0008,5.0001,25.0,89,858,1
17,5.0000,5.0005,5.0000,25.1,89,858,1
18,5.0001,5.0003,5.0000,25.1,89,858,1
19,5.0000,5.0003,5.0001,25.1,89,858,1
20,5.0000,5.0003,5.0001,25.1,89,858,1
21,10.0002,10.0006,10.0001,25.1,89,858,1
22,10.0000,10.0005,10.0000,25.1,89,858,1
23,10.0000,10.0006,10.0000,25.1,89,858,1
24,10.0001,10.0006,10.0001,25.0,89,858,1
25,10.0000,10.0006,10.0000,25.0,89,858,1
26,20.0004,20.0012,20.0003,25.0,89,858,1
27,20.0003,20.0013,20.0003,25.0,89,858,1
28,20.0004,20.0012,20.0003,25.0,89,858,1
29,20.0002,20.0011,20.0000,25.0,89,858,1
30,20.0002,20.0011,20.0002,25.0,89,858,1
31,20.0004,20.0010,20.0004,25.0,89,858,1
32,20.0004,20.0010,20.0004,25.0,89,858,1
33,20.0003,20.0010,20.0003,25.0,89,858,1
34,20.0003,20.0009,20.0002,25.0,89,858,1
35,20.0001,20.0008,20.0001,25.0,89,858,1
36,50.0004,50.0012,50.0004,25.0,89,858,1
37,50.0004,50.0013,50.0002,25.0,89,858,1
38,50.0003,50.0012,50.0004,25.0,89,858,1
39,50.0003,50.0014,50.0003,25.0,89,858,1
40,50.0004,50.0012,50.0002,25.0,89,858,1
41,100.0004,100.0023,100.0004,25.0,89,858,1
42,100.0004,100.0022,100.0003,25.0,89,858,1
43,100.0002,100.0023,100.0002,25.0,89,858,1
44,100.0002,100.0023,100.0002,24.9,89,858,1
45,100.0002,100.0022,100.0002,24.9,89,858,1
46,200.000,200.001,200.000,23.0,91,858,2
47,200.001,200.001,200.000,23.3,91,858,2
48,200.000,200.001,200.000,23.5,93,858,2
49,200.000,200.001,200.000,23.6,92,858,2
50,200.000,200.000,200.000,23.8,92,858,2
51,200.000,200.002,200.000,24.0,91,858,2
52,200.000,200.001,200.000,24.0,90,858,2
53,200.000,200.001,200.000,24.1,90,858,2
54,200.000,200.001,200.000,24.1,90,858,2
55,200.000,200.000,200.000,24.2,90,858,2
56,500.000,500.007,500.000,24.3,90,858,2
57,500.000,500.006,500.000,24.3,90,858,2
58,500.000,500.006,500.000,24.4,90,858,2
59,500.000,500.006,500.000,24.4,90,858,2
60,500.000,500.006,500.000,24.4,90,858,2
61,1000.00,1000.03,1000.00,22.1,85,861,3
62,1000.00,1000.04,1000.00,22.2,84,861,3
63,1000.00,1000.03,1000.00,22.3,84,861,3
64,1000.00,1000.03,1000.00,22.3,84,861,3
65,1000.00,1000.04,1000.00,22.3,85,861,3
66,2000.00,2000.04,2000.00,22.3,85,861,3
67,2000.00,2000.05,2000.00,22.4,85,861,3
68,2000.00,2000.05,2000.00,22.4,85,861,3
69,1999.99,2000.04,2000.00,22.4,85,861,3
70,2000.00,2000.05,2000.00,22.5,85,861,3
71,5000.01,5000.02,5000.00,22.5,85,861,3
72,5000.00,5000.00,5000.00,22.5,85,861,3
73,5000.00,5000.03,5000.00,22.6,85,861,3
74,5000.01,5000.03,5000.01,22.6,85,861,3
75,5000.00,5000.02,5000.00,22.6,85,861,3
