N,A,B1,B2,B3,B4,B5,A,T,hr,hPa,Balanza
1,500.000,500.004,500.007,500.004,500.008,500.012,500.000,24.8,91,858,2
2,500.000,500.001,500.006,500.003,500.004,500.014,500.000,24.8,91,858,2
3,500.000,500.002,500.006,500.003,500.006,500.012,500.000,24.8,90,858,2
4,500.000,500.001,500.005,500.003,500.004,500.010,500.000,24.8,90,858,2
5,500.000,500.000,500.005,500.002,500.004,500.011,500.000,24.8,90,858,2
6,500.000,500.000,500.005,500.002,500.004,500.011,500.000,24.8,90,858,2
7,500.000,500.000,500.004,500.002,500.006,500.011,500.000,24.8,90,858,2
8,500.000,500.000,500.005,500.002,500.004,500.010,499.999,24.7,90,858,2
9,500.000,500.000,500.004,500.002,500.004,500.010,500.000,24.7,90,858,2
10,500.000,500.000,500.005,500.001,500.004,500.010,499.999,24.7,90,858,2
