sujeto,ref,saliente30,saliente40
20.0,20.044,0,0
20.0,20.034,0,0
20.0,20.036,0,0
20.0,20.04,0,0
20.0,20.038,0,0
20.0,20.039,0,0
20.0,20.035,0,0
20.0,20.031,0,0
20.0,20.033,0,0
20.0,20.045,0,0
30.0,30.024,29.1,0
30.0,30.03,29.3,0
30.0,30.019,29.6,0
30.0,30.022,28.9,0
30.0,30.03,29.3,0
30.0,30.019,29.4,0
30.0,30.024,29.3,0
30.0,30.029,29.3,0
30.0,30.021,29.2,0
30.0,30.019,29.3,0
40.0,40.012,29.6,29.3
40.0,40.008,29.3,29.4
40.0,40.005,29.7,29.4
40.0,40.003,29.8,29.7
40.0,40.006,29.9,29.7
40.0,40.009,30.1,29.7
40.0,40.011,29.9,29.9
40.0,40.002,30.2,29.9
40.0,40.004,30.1,29.9
40.0,40.013,30.1,29.9
