sujetobim,refbim,sujetoter,refter
0,0.00,0.0,0.00
0,0.00,0.0,0.00
0,0.00,0.0,0.00
0,0.00,0.0,0.00
0,0.00,0.0,0.00
0,0.00,0.0,0.00
0,0.00,0.0,0.00
0,0.00,0.0,0.00
0,0.00,0.0,0.00
0,0.00,0.0,0.00
19,20.00,20.0,20.00
19,20.00,20.0,20.00
19,20.00,20.0,20.00
19,20.00,20.0,20.00
19,20.00,20.0,20.00
19,20.00,20.0,20.00
19,20.00,20.0,20.00
19,20.00,20.0,20.00
19,20.00,20.0,20.00
19,20.00,20.0,20.00
39,40.00,40.0,40.00
39,40.00,40.0,40.00
39,40.00,40.0,40.00
39,40.00,40.0,40.00
39,40.00,40.0,40.00
39,40.00,40.0,40.00
39,40.00,40.0,40.00
39,40.00,40.0,40.00
39,40.00,40.0,40.00
39,40.00,40.0,40.00
59,60.00,60.0,60.00
59,60.00,60.0,60.00
59,60.00,60.0,60.00
59,60.00,60.0,60.00
59,60.00,60.0,60.00
59,60.00,60.0,60.00
59,60.00,60.0,60.00
59,60.00,60.0,60.00
59,60.00,60.0,60.00
59,60.00,60.0,60.00
